Date,Ticker,Open,High,Low,Close,Volume
2023-01-01,AAPL,194.63809668799558,197.5723393516337,193.6600158001162,195.61617757587496,9468556
2023-01-02,AAPL,193.0754905875211,195.9861763752727,192.10526199160392,194.0457191834383,4725902
2023-01-03,AAPL,191.0182357301775,193.89790762560733,190.05834509836757,191.97812636198745,5873952
2023-01-04,AAPL,189.46743728033027,192.32373030465686,188.51533960555474,190.4195349551058,1562753
2023-01-05,AAPL,190.9720674347678,193.8510433257442,190.01240880444234,191.93172606509327,8076403
2023-01-06,AAPL,189.6768118900917,192.53626131557047,188.72366208159877,190.62996169858462,3704662
2023-01-07,AAPL,192.24344700397265,195.14158942111797,191.27739953159087,193.20949447635442,7796016
2023-01-08,AAPL,189.61002678885967,192.4684694037671,188.65721258389053,190.56284099382881,4158920
2023-01-09,AAPL,188.4281576117336,191.26878310336778,187.48128244785553,189.37503277561166,6084824
2023-01-10,AAPL,185.6461731820741,188.44485920994455,184.71327783945063,186.5790685246976,1127538
2023-01-11,AAPL,186.67459686255685,189.48878676500746,185.73653356174,187.61266016337373,2359237
2023-01-12,AAPL,186.57453572883026,189.38721717197845,185.63697524778084,187.51209620987964,9965255
2023-01-13,AAPL,179.15995072762604,181.8608545074395,178.25964946768823,180.06025198756387,3172636
2023-01-14,AAPL,177.07174108383373,179.74116431625333,176.18193333969384,177.9615488279736,4514269
2023-01-15,AAPL,175.948633234163,178.60112519246698,175.06446924806167,176.83279722026433,7201834
2023-01-16,AAPL,174.22437112662766,176.850869183813,173.34887177423255,175.09987047902277,2941415
2023-01-17,AAPL,177.501023359858,180.17691818437848,176.60905841835117,178.39298830136482,8410700
2023-01-18,AAPL,176.1755276763441,178.83144015387694,175.2902235171665,177.06083183552172,7877874
2023-01-19,AAPL,179.3645660167082,182.0685544491209,178.46323653923733,180.26589549417912,9306776
2023-01-20,AAPL,183.6424131739612,186.41089176452343,182.71958697710713,184.56523937081528,6100515
2023-01-21,AAPL,185.03610636647176,187.82559540717233,184.10627668623823,185.96593604670528,2423481
2023-01-22,AAPL,185.98886251703794,188.79271471578727,185.05424511745485,186.92347991662106,9680155
2023-01-23,AAPL,187.20796414587184,190.03019476113624,186.26722060745035,188.1487076842933,2823850
2023-01-24,AAPL,185.71199711601042,188.51167546449298,184.77877099984957,186.64522323217128,6960047
2023-01-25,AAPL,190.74476054704135,193.62030970101685,189.78624416238287,191.70327693169986,8594250
2023-01-26,AAPL,194.902715505825,197.8409473978726,193.92330487514246,195.88212613650754,9993049
2023-01-27,AAPL,197.69080950796507,200.67107296788416,196.69738835465873,198.68423066127144,7354914
2023-01-28,AAPL,194.69599524514837,197.63111075135663,193.7176234097456,195.67436708055112,3165071
2023-01-29,AAPL,195.08632821288256,198.02732813568983,194.10599490528014,196.06666152048498,1426492
2023-01-30,AAPL,195.215587162245,198.1585357124296,194.23460431218345,196.19657001230652,2780858
2023-01-31,AAPL,189.13246643280354,191.98370964535837,188.1820520286186,190.0828808369885,5544872
